Tool,Correctly identifed text,Missing paragraphs,Text similarity,Returned empty files (complete errors)
string,number,number,number,number
Apache Tika 1.1.3.,0.813115173,0.00203666,0.988153197,0
Apache Tika 1.1.4.,0.810942094,0.00203666,0.987990912,0
Apache Tika 1.1.5.,0.810686437,0.00203666,0.987990912,0
Apache Tika 1.1.6.,0.810942094,0.00203666,0.987666342,0.000165769
Apache Tika 1.1.7.,0.878179726,0.00203666,0.987990912,0
PDFBox,0.80838553,0.00203666,1,0.000165769
Xpdf (Pdftotext),0.808896843,0.144602851,0.9438494,0
Docsplit,0.808896843,0.144602851,0.9438494,0
GROBID,1,0,0.783024992,8.28844E-05
Icecite,0.87933018,0,0.919019799,0
DocTo-Text,0,1,0,1
Pdftools,0.800076697,0.873727088,0.700259656,0
